Word1,Word2,Number of SMSs with co-occurences
0,1st,1
0,2,2
0,4,3
0,activ8,1
0,arcade,3
0,buy,2
0,chance,2
0,charge,2
0,console,2
0,free,1
0,game,3
0,games,3
0,get,1
0,golf,1
0,invaders,2
0,key,1
0,o2,1
0,o2coukgames,2
0,orig,2
0,post,1
0,press,3
0,purchase,2
0,rayman,1
0,reply,1
0,save,1
0,see,2
0,settings,3
0,space,2
0,std,2
0,terms,2
0,termsapply,1
0,ur,1
0,wap,2
0,win,2
008704050406,100,2
008704050406,150,2
008704050406,82277unsub,2
008704050406,arrow,1
008704050406,cornwall,2
008704050406,duchess,2
008704050406,first,2
008704050406,high,2
008704050406,know,2
008704050406,moby,2
008704050406,name,2
008704050406,new,2
008704050406,prize,2
008704050406,pub,2
008704050406,quizwin,2
008704050406,sp,2
008704050406,stop,2
008704050406,street,2
008704050406,txt,2
008704050406,u,2
0089my,09063442151,1
0089my,350,1
0089my,award,1
0089my,call,1
0089my,claim,1
0089my,digits,1
0089my,ending,1
0089my,four,1
0089my,last,1
0089my,matches,1
0089my,number,1
0089my,numbers,1
0089my,please,1
0089my,received,1
0089my,selected,1
0089my,todays,1
0089my,vodafone,1
0121,2025050,1
0121,45,1
0121,breaks,1
0121,call,1
0121,per,1
0121,person,1
0121,shopping,1
0121,sparkling,1
0121,visit,1
0121,wwwshortbreaksorguk,1
01223585236,beg,1
01223585236,call,1
01223585236,heard,1
01223585236,knickers,1
01223585236,last,1
01223585236,like,1
01223585236,luv,1
01223585236,make,1
01223585236,night,1
01223585236,nikiyu4net,1
01223585236,time,1
01223585236,u,1
01223585236,u4,1
01223585236,xx,1
01223585334,2c,2
01223585334,2end,2
01223585334,4,2
01223585334,8552,2
01223585334,call,2
01223585334,chat,2
01223585334,cum,2
01223585334,gettin,2
01223585334,heard,2
01223585334,line,2
01223585334,pics,2
01223585334,pix,2
01223585334,private,2
01223585334,rude,2
01223585334,sam,2
01223585334,send,2
01223585334,shagged,2
01223585334,stop,2
01223585334,text,2
01223585334,u4,2
01223585334,wan,2
01223585334,xxx,2
02,2,1
02,awaiting,1
02,day,1
02,fantastic,1
02,find,1
02,httpwwwurawinnercom,1
02,important,1
02,information,1
02,log,1
02,lucky,1
02,onto,1
02,surprise,1
02,today,1
02,urgent,1
02,user,1
020603,077xxx,1
020603,07xxxxxxxxx,2
020603,09066362206,1
020603,09066362220,1
020603,09066362231,2
020603,150ppm,3
020603,2000,4
020603,2nd,4
020603,asap,4
020603,attempt,4
020603,bonus,4
020603,box97n7qp,3
020603,call,4
020603,caller,4
020603,mobile,4
020603,prize,4
020603,reach,4
020603,urgent,4
020603,won,4
0207,14thmarch,1
0207,153,2
0207,26th,1
